time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
177.65,0.9508802856680965,146.54363187593927,10.017961951886628,0.646704805653751,0.3613451014804379,8.429408393949048,-0.6226848558260172,0.1613970119728422,10.345919388448683,0.12325789216498116,0.2025246100307257
177.7,0.9489064267830886,146.59183205097358,9.867314648198308,0.5937581085632222,0.355988209186756,8.540182962964966,-0.6146708767523877,0.13648031355351833,10.405638581149335,0.15921636850884738,0.20491563809475258
177.75,0.9472048037838728,146.64005512741724,9.70430734317925,0.5435933598493236,0.33818633718765584,8.65868343310207,-0.600117078591709,0.1179270634800155,10.469978061697722,0.18782911227894408,0.21167196160198548
177.8,0.9458438618698712,146.6882953006032,9.532917176549104,0.4998910301136714,0.31353710477146324,8.783686971202616,-0.5805692371977185,0.11134729135277031,10.537267012472743,0.21035021383724362,0.2227075793260333
177.85,0.9448741544879544,146.7365519496907,9.35779380248113,0.4649004397858413,0.2891933806822335,8.911948575128882,-0.5588528024777251,0.11723559936575272,10.606622638155498,0.22799910493824777,0.23763310219126374
177.9,0.9443160011153414,146.7848307592835,9.18378341759581,0.4390623488256091,0.27018392199504604,9.038529093910817,-0.5390129945377682,0.13221413300304666,10.676573425595866,0.2414885724543122,0.2542103704980129
177.95,0.9441623204034456,146.8331405848381,9.01644324245544,0.42150635906212436,0.2585658725124895,9.158455838593285,-0.5253550885534655,0.15229527607815568,10.743403706357453,0.25111608005290276,0.26749105659624894
178.0,0.944394311846943,146.88148693832034,8.862773654955756,0.41117716021173706,0.25516008900217196,9.268083007430869,-0.5209877175746322,0.1750667076972531,10.802608624793764,0.25776959270241606,0.2733134441075
178.05,0.9449870979475131,146.92986778920482,8.730286332649804,0.4074516726139647,0.2596970153116288,9.365016337403596,-0.5269279858861843,0.1989480718569745,10.851238546879733,0.26370726634631736,0.2719807369163124
178.1,0.9459067019064508,146.978274854258,8.62520533186908,0.4098293987594653,0.2694683103506052,9.447490236218739,-0.5422121964320904,0.22175906253616695,10.88896047732232,0.27231376960246134,0.26880840308940546
178.15,0.9471119663841122,147.0266985272918,8.551183446981645,0.41714921196074767,0.2795951771440525,9.514696380360622,-0.5646255361477321,0.24130079004018357,10.918051314449224,0.2871424613971998,0.27163484340813954
178.2,0.9485539763308396,147.07513396930705,8.508262710353033,0.42673892678748376,0.28445197617475776,9.567567061825844,-0.5916507621998304,0.25617702955463334,10.941401978311195,0.3105218475654308,0.28508774530850084
178.25,0.9501778911197718,147.12358394584396,8.49169641797356,0.43416024136170783,0.2790534022756704,9.609119160636379,-0.6210158979922735,0.2662041779788755,10.960648258687346,0.3427073936673574,0.30694329234955836
178.3,0.9519364223112541,147.17205623012302,8.492220683720603,0.434026409832544,0.2615173388034613,9.643636361990012,-0.650626849960228,0.2727724114513248,10.975927034326732,0.382196117170935,0.3294661434867766
178.35,0.953804170328182,147.22055791979014,8.498588227433704,0.4215888340373453,0.2349942642350239,9.674934354312093,-0.6781943456244042,0.2777655570228996,10.987065050068894,0.4268062369847191,0.34436792700210855
178.4,0.9557810652701286,147.2690903856881,8.500165070699898,0.39418739046368007,0.20636602683134192,9.70538694406682,-0.7008674889028667,0.28214410664225104,10.99524436822951,0.4747646615961037,0.3481375969387068
