time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2
178.1,1.14030507049152,147.18391872345777,8.615183646042976,0.244815877686714,0.2175365532922514
178.15,1.1358912044502418,147.23288924507548,8.603253440060882,0.1903693581366383,0.19929774956979712
178.2,1.1303748116346788,147.281857819114,8.584462079457813,0.14562101874419447,0.18288679262509827
178.25,1.1238052390038797,147.33081994896574,8.553500278675862,0.11193738044050675,0.17424174929611275
178.3,1.1162246820210397,147.37977376247045,8.507186883328762,0.08945739402671904,0.17728565984938818
178.35,1.1076688737144322,147.4287204987423,8.443952569253845,0.07690193377613389,0.19298486915402685
178.4,1.098167998638149,147.4776644992837,8.362984316418327,0.07158228082652755,0.21861948906318196
178.45,1.087750654519562,147.52661256763824,8.26391388563819,0.06972138923103312,0.24844933268028188
178.5,1.0764518008425752,147.57557283548633,8.147363462654985,0.06705314769359591,0.2761252502644081
178.55,1.0643113283973908,147.62455296896897,8.016661929714267,0.059661290006437995,0.29654298121726475
178.6,1.051370627674309,147.6735584012604,7.880162138254966,0.0447921027285309,0.30829229580765183
178.65,1.0376775423422042,147.7225916359001,7.749275358864234,0.021038563650924266,0.3147497008571826
178.7,1.0232876064994683,147.7716525480792,7.632968489148002,-0.01199851576847073,0.31970546092747476
178.75,1.0082674553067303,147.82073915486603,7.535685023411518,-0.05395358393834549,0.32420097375204215
178.8,0.9927014407842868,147.86984824965535,7.459201552107193,-0.10366634609881736,0.32701994225868597
178.85,0.9766887725145257,147.91897514464125,7.40488724501008,-0.1590221770527554,0.3257403252614768
178.9,0.9603417080608978,147.96811346677688,7.374100295983731,-0.21705095674607106,0.3184567526696206
178.95,0.9437925370608583,148.0172563279114,7.367373678002034,-0.274417284813668,0.3050831900510268
179.0,0.9271978722749287,148.0663979993259,7.384259002597034,-0.32795699372938164,0.2874881861308082
179.05,0.9107338489324754,148.1155346294075,7.424148670259407,-0.37500870156537197,0.2696013361333692
179.1,0.8945837513872424,148.16466424064762,7.4865037829981365,-0.41364659780974705,0.25632857430499045
179.15,0.8789139277432497,148.21378610473073,7.569482723156936,-0.44283505568754195,0.2496109098277407
179.2,0.8638570463565425,148.26290025399746,7.668058359695289,-0.46256459748593554,0.24513501873927687
179.25,0.8495237885052682,148.31200765294898,7.77462266769973,-0.4738742655756839,0.23569075647183674
